sweepId,serverId,runId,t,load,phase,liveBullets,memoryMb,instanceCount
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,58.55421919,4000,steady,3999,562.1796875,100876
frame1,20260824T000440-4d7d85d4,20260824T001008-cb3f6404,59.57009508,4000,steady,4000,562.1796875,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,0.02671638399,6000,steady,6000,562.4570313,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,1.042154209,6000,steady,6000,562.4570313,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,2.042489086,6000,steady,6000,562.4570313,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,3.042552006,6000,steady,5999,562.4570313,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,4.042712885,6000,steady,6000,562.4570313,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,5.043121411,6000,steady,6000,562.4609375,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,6.058615816,6000,steady,6000,562.4609375,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,7.058666436,6000,steady,5999,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,8.059650386,6000,steady,6000,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,9.060505007,6000,steady,6000,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,10.07335306,6000,steady,6000,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,11.07566488,6000,steady,6000,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,12.08990938,6000,steady,6000,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,13.09138449,6000,steady,5999,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,14.10831578,6000,steady,6000,562.5039063,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,15.12562881,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,16.13971935,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,17.15466314,6000,steady,6000,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,18.15527318,6000,steady,5999,564.6132813,100876
frame1,20260824T000440-4d7d85d4,20260824T001208-558ee679,19.15815752,6000,steady,6000,564.6132813,100876
